定_;日本_;英_;;;;
TVPSpecifyLayer;Layer クラスのオブジェクトを指定してください;Specify Layer class object;;;;
TVPSpecifyLayerOrBitmap;Layer クラスか Bitmap クラスのオブジェクトを指定してください;Specify Layer or Bitmap class object;;;;
TVPCannotAcceptModeAuto;この操作で mode に omAuto を指定することは出来ません;Cannot accept omAuto mode;;;;
TVPCannotCreateEmptyLayerImage;画像サイズの横幅あるいは_幅を 0 以下の数に_定することはできません;Cannot create empty layer image;;;;
TVPCannotSetPrimaryInvisible;プライマリレイヤは不可_にできません;Cannot set primary layer invisible;;;;
TVPCannotMovePrimary;プライマリレイヤは移_できません;Cannot move primary layer;;;;
TVPCannotSetParentSelf;自分自身を_とすることはできません;Cannot set parent self;;;;
TVPCannotMoveNextToSelfOrNotSiblings;自分自身の前後や_の_なるレイヤの前後に移_することはできません;Cannot move next to self or not siblings;;;;
TVPCannotMovePrimaryOrSiblingless;プライマリレイヤや兄弟の_いレイヤは前後に移_することはできません;Cannot move primary or siblingless;;;;
TVPCannotMoveToUnderOtherPrimaryLayer;_のプライマリレイヤ下にレイヤを移_することはできません;Cannot move to under Other primary layer;;;;
TVPInvalidImagePosition;レイヤ_域に画像の_い_域が_生しました;Invalid Image position;;;;
TVPCannotSetModeToDisabledOrModal;すでにモ_ダルなレイヤの_レイヤ、あるいは不可_/__なレイヤをモ_ダルにすることはできません;Cannot set Mode to disabled or modal;;;;
TVPNotDrawableLayerType;この type のレイヤでは描画や画像_み_みや画像サイズ/位置の_更/取得はできません;Not drawable layer type;;;;
TVPSourceLayerHasNoImage;_送元レイヤは画像を持っていません;Source layer has no image;;;;
TVPUnsupportedLayerType;%1 はこの type のレイヤでは使用できません;Unsupported layer type %1;;;;
TVPNotDrawableFaceType;%1 ではこの face に描画できません;Not drawble face type %1;;;;
TVPCannotConvertLayerTypeUsingGivenDirection;指定されたレイヤタイプ__はできません;Cannot convert layer type using given direction;;;;
TVPNegativeOpacityNotSupportedOnThisFace;_の不透明度はこの face では指定できません;Negative opacity not supported on this face;;;;
TVPSrcRectOutOfBitmap;_送元がビットマップ外の_域を含んでいます。正しい__に_まるように_送元を指定してください;Source rectangle out of bitmap;;;;
TVPBoxBlurAreaMustContainCenterPixel;矩形ブラ_の__は必ず(0,0)をその中に含む必要があります。leftとrightが_方とも正の数_、あるいは_方とも_の数_という指定はできません(topとbottomに_しても同_);Box blur area must contain center pixel;;;;
TVPBoxBlurAreaMustBeSmallerThan16Million;矩形ブラ_の__が大きすぎます。矩形ブラ_の__は1677万以下である必要があります;Box blur area must be smaller than 16 million;;;;
TVPCannotChangeFocusInProcessingFocus;フォ_カス_更_理中はフォ_カスを新たに_更することはできません;Cannot change focus in processing focus;;;;
TVPWindowHasNoLayer;ウィンドウにレイヤがありません;Window has no layer;;;;
TVPWindowHasAlreadyPrimaryLayer;ウィンドウにはすでにプライマリレイヤがあります;Window has already primary layer;;;;
TVPSpecifiedEventNeedsParameter;イベント %1 にはパラメ_タが必要です;Specified event %1 needs parameter;;;;
TVPSpecifiedEventNeedsParameter2;イベント %1 にはパラメ_タ %2 が必要です;Specified event %1 needs parameter %2;;;;
TVPSpecifiedEventNameIsUnknown;イベント名 %1 は未知のイベント名です;Specified event name %1 is unknown;;;;
TVPOutOfRectangle;矩形外を指定されました;Out of Rectangle;;;;
TVPInvalidMethodInUpdating;画面更新中はこの_能を_行できません;Invalid method in updating;;;;
TVPCannotCreateInstance;このクラスはインスタンスを作成できません;Cannot create instance;;;;
TVPUnknownWaveFormat;%1 は__できない Wave 形式です;Unknown wave format %1;;;;
